filename,proj_no,hole_no,top_depth,bottom_depth,coord_x,coord_y,elevation
100466240991262064_B7-07_0.0m-10.0m.jpg,100466240991262064,B7-07,0.0,10.0,121.336536,24.934158,57.61
100466240991262064_B8-01_0.0m-10.0m.jpg,100466240991262064,B8-01,0.0,10.0,121.338324,24.977295,131.75
100466240991262064_B8-02_0.0m-10.0m.jpg,100466240991262064,B8-02,0.0,10.0,121.337461,24.974678,109.94
100466240991262064_BB-01_0.0m-18.0m.jpg,100466240991262064,BB-01,0.0,18.0,121.370011,24.938717,37.76
100466240991262064_BB-02_0.0m-20.0m.jpg,100466240991262064,BB-02,0.0,20.0,121.364929,24.938719,40.97
100466240991262064_BB-02_20.0m-21.0m.jpg,100466240991262064,BB-02,20.0,21.0,121.364929,24.938719,40.97
100466240991262064_BB-03_0.0m-20.0m.jpg,100466240991262064,BB-03,0.0,20.0,121.360861,24.938364,43.76
100466240991262064_BB-03_20.0m-25.0m.jpg,100466240991262064,BB-03,20.0,25.0,121.360861,24.938364,43.76
100466240991262064_BB-04_0.0m-20.0m.jpg,100466240991262064,BB-04,0.0,20.0,121.354248,24.943772,43.17
100466240991262064_BB-04_20.0m-28.0m.jpg,100466240991262064,BB-04,20.0,28.0,121.354248,24.943772,43.17
100466240991262064_BB-05_0.0m-20.0m.jpg,100466240991262064,BB-05,0.0,20.0,121.353197,24.946238,46.02
100466240991262064_BB-05_20.0m-28.0m.jpg,100466240991262064,BB-05,20.0,28.0,121.353197,24.946238,46.02
100466240991262064_BB-06_0.0m-20.0m.jpg,100466240991262064,BB-06,0.0,20.0,121.358032,24.951068,40.13
100466240991262064_BB-06_20.0m-28.0m.jpg,100466240991262064,BB-06,20.0,28.0,121.358032,24.951068,40.13
100466240991262064_BB-08_0.0m-20.0m.jpg,100466240991262064,BB-08,0.0,20.0,121.371333,24.957842,28.64
100466240991262064_BB-08_20.0m-25.0m.jpg,100466240991262064,BB-08,20.0,25.0,121.371333,24.957842,28.64
100466240991262064_BB-09_0.0m-20.0m.jpg,100466240991262064,BB-09,0.0,20.0,121.376406,24.960971,30.08
100466240991262064_BB-09_20.0m-25.0m.jpg,100466240991262064,BB-09,20.0,25.0,121.376406,24.960971,30.08
100466240991262064_BE-02_0.0m-15.0m.jpg,100466240991262064,BE-02,0.0,15.0,121.383498,24.951564,31.58
100466240991262064_BE-03_0.0m-17.0m.jpg,100466240991262064,BE-03,0.0,17.0,121.376235,24.949806,34.59
100466240991262064_BE-04_0.0m-20.0m.jpg,100466240991262064,BE-04,0.0,20.0,121.371673,24.94796,36.81
100466240991262064_BE-05_12.0m-24.0m.jpg,100466240991262064,BE-05,12.0,24.0,121.363968,24.943068,40.76
100466240991262064_BE-06_0.0m-20.0m.jpg,100466240991262064,BE-06,0.0,20.0,121.356868,24.940789,45.69
100466240991262064_BE-06_20.0m-27.0m.jpg,100466240991262064,BE-06,20.0,27.0,121.356868,24.940789,45.69
100466240991262064_BH-01_19.0m-30.0m.jpg,100466240991262064,BH-01,19.0,30.0,121.360606,24.954806,38.71
100466240991262064_BH-02_0.0m-20.0m.jpg,100466240991262064,BH-02,0.0,20.0,121.360818,24.954945,38.62
100466240991262064_BH-02_20.0m-30.0m.jpg,100466240991262064,BH-02,20.0,30.0,121.360818,24.954945,38.62
100466240991262064_BH-04_0.0m-20.0m.jpg,100466240991262064,BH-04,0.0,20.0,121.360664,24.954734,38.7
100466240991262064_BH-04_20.0m-30.0m.jpg,100466240991262064,BH-04,20.0,30.0,121.360664,24.954734,38.7
100466240991262064_BH-05_0.0m-20.0m.jpg,100466240991262064,BH-05,0.0,20.0,121.360875,24.954872,38.56
100466240991262064_BH-05_20.0m-30.0m.jpg,100466240991262064,BH-05,20.0,30.0,121.360875,24.954872,38.56
100466240991262064_BH-06_0.0m-20.0m.jpg,100466240991262064,BH-06,0.0,20.0,121.361076,24.955003,38.49
100466240991262064_BH-07_0.0m-15.0m.jpg,100466240991262064,BH-07,0.0,15.0,121.360843,24.95447,38.76
100466240991262064_BH-08_0.0m-15.0m.jpg,100466240991262064,BH-08,0.0,15.0,121.361267,24.954789,38.29
100466240991262064_BH-09_0.0m-15.0m.jpg,100466240991262064,BH-09,0.0,15.0,121.361064,24.954132,38.81
100466240991262064_BH-10_0.0m-15.0m.jpg,100466240991262064,BH-10,0.0,15.0,121.361543,24.954434,38.11
100466240991262064_BH-11_0.0m-15.0m.jpg,100466240991262064,BH-11,0.0,15.0,121.361468,24.953679,38.58
100466240991262064_BH-14_0.0m-15.0m.jpg,100466240991262064,BH-14,0.0,15.0,121.36299700000001,24.955124,37.85
100466240991262064_BH-15_0.0m-15.0m.jpg,100466240991262064,BH-15,0.0,15.0,121.363047,24.954633,36.47
100466240991262064_BH-17_16.0m-30.0m.jpg,100466240991262064,BH-17,16.0,30.0,121.359894,24.954703,37.02
100466240991262064_BH-18_20.0m-30.0m.jpg,100466240991262064,BH-18,20.0,30.0,121.360138,24.954393,39.0
100466240991262064_BH-19_0.0m-15.0m.jpg,100466240991262064,BH-19,0.0,15.0,121.361531,24.954954999999998,38.16
100466240991262064_BH-22_0.0m-15.0m.jpg,100466240991262064,BH-22,0.0,15.0,121.362222,24.954869,38.1
100466240991262064_BH-23_0.0m-15.0m.jpg,100466240991262064,BH-23,0.0,15.0,121.362172,24.954156,38.0
1225788915030_BH-1_4.0m-5.0m.jpg,1225788915030,BH-1,4.0,5.0,121.516763,25.129071,157.03
1225788915030_BH-1_5.0m-10.0m.jpg,1225788915030,BH-1,5.0,10.0,121.516763,25.129071,157.03
1225788915030_BH-2_2.0m-5.0m.jpg,1225788915030,BH-2,2.0,5.0,121.516709,25.12901,154.37
1225788915030_BH-2_5.0m-10.0m.jpg,1225788915030,BH-2,5.0,10.0,121.516709,25.12901,154.37
1225788915030_BH-3_3.0m-5.0m.jpg,1225788915030,BH-3,3.0,5.0,121.51661,25.129056,157.01
1225788915030_BH-3_5.0m-10.0m.jpg,1225788915030,BH-3,5.0,10.0,121.51661,25.129056,157.01
1225788915030_D-1_0.0m-4.0m.jpg,1225788915030,D-1,0.0,4.0,121.516722,25.129058,156.89
1225788915030_D-1_12.0m-16.0m.jpg,1225788915030,D-1,12.0,16.0,121.516722,25.129058,156.89
1225788915030_D-1_16.0m-20.0m.jpg,1225788915030,D-1,16.0,20.0,121.516722,25.129058,156.89
1225788915030_D-1_20.0m-24.0m.jpg,1225788915030,D-1,20.0,24.0,121.516722,25.129058,156.89
1225788915030_D-1_24.0m-28.0m.jpg,1225788915030,D-1,24.0,28.0,121.516722,25.129058,156.89
1225788915030_D-1_28.0m-30.0m.jpg,1225788915030,D-1,28.0,30.0,121.516722,25.129058,156.89
1225788915030_D-1_4.0m-8.0m.jpg,1225788915030,D-1,4.0,8.0,121.516722,25.129058,156.89
1225788915030_D-1_8.0m-12.0m.jpg,1225788915030,D-1,8.0,12.0,121.516722,25.129058,156.89
1225788915030_D-2_0.0m-4.0m.jpg,1225788915030,D-2,0.0,4.0,121.516596,25.129062,157.0
1225788915030_D-2_12.0m-16.0m.jpg,1225788915030,D-2,12.0,16.0,121.516596,25.129062,157.0
1225788915030_D-2_16.0m-20.0m.jpg,1225788915030,D-2,16.0,20.0,121.516596,25.129062,157.0
1225788915030_D-2_20.0m-24.0m.jpg,1225788915030,D-2,20.0,24.0,121.516596,25.129062,157.0
1225788915030_D-2_24.0m-28.0m.jpg,1225788915030,D-2,24.0,28.0,121.516596,25.129062,157.0
1225788915030_D-2_28.0m-30.0m.jpg,1225788915030,D-2,28.0,30.0,121.516596,25.129062,157.0
1225788915030_D-2_4.0m-8.0m.jpg,1225788915030,D-2,4.0,8.0,121.516596,25.129062,157.0
1225788915030_D-2_8.0m-12.0m.jpg,1225788915030,D-2,8.0,12.0,121.516596,25.129062,157.0
24498346-102GQ060_BH-1_0.0m-5.0m.jpg,24498346-102GQ060,BH-1,0.0,5.0,121.54526,25.131129,409.09
24498346-102GQ060_BH-1_10.0m-15.0m.jpg,24498346-102GQ060,BH-1,10.0,15.0,121.54526,25.131129,409.09
24498346-102GQ060_BH-1_15.0m-20.0m.jpg,24498346-102GQ060,BH-1,15.0,20.0,121.54526,25.131129,409.09
24498346-102GQ060_BH-1_20.0m-25.0m.jpg,24498346-102GQ060,BH-1,20.0,25.0,121.54526,25.131129,409.09
24498346-102GQ060_BH-1_25.0m-30.0m.jpg,24498346-102GQ060,BH-1,25.0,30.0,121.54526,25.131129,409.09
24498346-102GQ060_BH-1_5.0m-10.0m.jpg,24498346-102GQ060,BH-1,5.0,10.0,121.54526,25.131129,409.09
24498346-102GQ060_BH-2_0.0m-5.0m.jpg,24498346-102GQ060,BH-2,0.0,5.0,121.545435,25.131194,395.97
24498346-102GQ060_BH-2_10.0m-15.0m.jpg,24498346-102GQ060,BH-2,10.0,15.0,121.545435,25.131194,395.97
24498346-102GQ060_BH-2_15.0m-20.0m.jpg,24498346-102GQ060,BH-2,15.0,20.0,121.545435,25.131194,395.97
